"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q13557;Q9UQM7;Q13555;Q13554",-1.7007404535443,21.5703226318108,-13.4608200593145,5.03119554966225e-06,3.86089571528429e-05,4.78028451832422
"Q16777;Q6FI13",2.81823866880454,27.8063485914993,13.3081751651365,5.4097391341004e-06,4.06305939220732e-05,4.70151936710735
"Q08431",2.35691253763335,26.9812787279547,13.069712415826,6.06845072964804e-06,4.46283980742866e-05,4.57658969062844
"P15311",-1.95355058500422,26.6516106223376,-12.9365803858016,6.47603345113485e-06,4.66538736377674e-05,4.50582110467069
"Q99536",1.30872998477481,25.3219722230969,12.6270190466395,7.55118774086587e-06,5.3311385450513e-05,4.33835413023919
"P12814;P35609;Q08043",1.22577001445928,24.586913012894,12.0629916540444,1.00823333703048e-05,6.88421896508765e-05,4.02226483757814
"P20020",4.04778693477014,22.9442991660502,12.0519030748533,1.01410590987127e-05,6.88421896508765e-05,4.01590300722448
"P30044",-2.25787012122852,25.0332613214502,-11.8532879953204,1.12623201512097e-05,7.50113021391889e-05,3.90095305281823
"Q13641",2.04308038415546,22.732049167096,11.7791543438643,1.1716772554724e-05,7.65929761447698e-05,3.85755627535447
"P16070",1.70946175156405,26.1158718936475,11.6073210739685,1.28533179753274e-05,8.24949317325556e-05,3.7559188217158
"Q86X29",-3.30838069354091,23.1156535669649,-11.4634034942258,1.39031549318243e-05,8.76395301952495e-05,3.6696446567392
"P08238;Q58FF7",1.11242400535302,27.9542375182448,11.4121580749201,1.43004477680873e-05,8.85624221427159e-05,3.63866738111307
"Q8IWA5",-3.45661635083282,25.2551714072213,-11.3626159606077,1.46969466088283e-05,8.94486578089031e-05,3.60858980107021
"P09211",-3.85653829755884,27.1183464001454,-11.3001934772948,1.52145893328099e-05,9.10296616013881e-05,3.57050909967437
"P48509",2.04117698861063,25.9063411041654,10.9932990851409,1.80838066278638e-05,0.000106393062327265,3.38025510876602
"O43399",1.95175845323343,24.6466784909208,10.9236336672826,1.8818587045849e-05,0.00010890100372434,3.33634983655878
"O15144",-1.35812689941895,24.8408227729201,-10.4819316883631,2.4358001861749e-05,0.000138683462212861,3.05154350828752
"P10301",1.41690496202679,25.072317849148,10.3257366963372,2.6747811971622e-05,0.000147969333615101,2.94807990121283
"O14493;O95484;P56747;O15551",-2.52691136250747,26.3403123662987,-10.3208188431236,2.68273012786585e-05,0.000147969333615101,2.94479826085764
"Q8WUM4",-1.64140967426296,27.3315344929759,-10.1219762526165,3.02796334220478e-05,0.000164441701507429,2.81085945098825
"Q13443",-2.21251795481052,23.6902956360454,-10.0026364544314,3.25948676803349e-05,0.000172667479415461,2.72927910530822
"Q15907",1.12005967594501,24.4316392441417,9.9938794103628,3.27725810788552e-05,0.000172667479415461,2.72325694054765
"O15427",1.50013687311252,25.7103717531847,9.89147903264785,3.49350692187035e-05,0.000181354109326505,2.65246840933896
"Q15758",1.6474033850685,26.3836112701612,9.78528872574421,3.7351741082516e-05,0.000191089342059828,2.57833474604365
"Q15286",-1.04325051831247,24.3600632598104,-9.63247136512669,4.11727468622407e-05,0.000207628280605299,2.47032897590793
"O00299",1.2744031733353,27.7594272392307,9.27713354564434,5.19160511932177e-05,0.000258117831988815,2.21296270788011
"P07437",1.51166413666447,27.2284842200364,9.02261722884033,6.15916890353941e-05,0.000301970364298529,2.02304310326303
"P14923",-2.21089909884426,24.8817806363505,-8.97119387651013,6.37879803019971e-05,0.00030748616619968,1.98408521220658
"P59998",-1.41307703490424,24.514136867829,-8.95476053621543,6.45086003822403e-05,0.00030748616619968,1.97159318907262
"P49327",-0.928814254305554,24.6324463544417,-8.93628438842279,6.53299219970991e-05,0.00030748616619968,1.95752373537212
"P11021",1.84447265412771,24.0888733763879,8.68792131269376,7.76141840093518e-05,0.00035788301750666,1.76583322344138
"P68363;Q9H853",1.19069343476805,27.5214463614944,8.67967492079881,7.8065134130348e-05,0.00035788301750666,1.75938540832039
"P26447",0.903806202112346,26.1743141253753,8.65366141016657,7.95073792031775e-05,0.000359821857163098,1.73901000631905
